,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
16,vsBUR,LW,8,13.38,0.25,1.5,0.62,0.62,0.88,0.62,0.12,0.0,0.12,0.25,0.38,1.38,0.0,0.88,0.0,0.25,0.0,0.5,0.25,0.5,0.88,0.0,0.0,7.25,-0.56,0.38,1,30.7
48,vsSHU,FW,13,12.62,0.62,1.15,0.15,1.54,0.23,1.31,0.15,0.0,0.0,0.08,0.31,1.08,0.0,1.31,0.08,0.0,0.0,0.62,0.23,0.77,1.08,0.62,0.0,6.15,-1.27,0.54,1,26.39
29,vsFUL,RW,6,12.58,0.5,1.0,0.17,1.0,0.67,1.33,0.33,0.0,0.67,0.67,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,1.67,0.17,0.33,6.92,-1.33,0.67,1,29.67
6,vsBHA,FW,16,12.5,0.44,1.12,0.31,1.12,0.31,0.94,0.0,0.0,0.06,0.06,0.44,1.56,0.12,1.06,0.0,0.0,0.0,2.06,0.06,0.62,0.5,0.44,0.06,6.69,-0.47,0.44,1,31.5
49,vsSHU,LW,11,12.09,0.18,2.27,0.27,0.91,0.36,1.09,0.18,0.0,0.45,0.18,0.0,1.64,0.0,0.91,0.0,0.0,0.0,0.36,0.27,0.45,1.0,0.09,0.0,8.55,-0.91,0.64,1,23.43
47,vsNOT,RW,6,11.58,0.33,2.0,0.0,0.83,1.17,0.67,0.0,0.0,0.33,0.33,0.5,1.17,0.0,0.17,0.0,0.0,0.0,0.83,0.17,0.33,0.5,0.0,0.0,8.42,-0.33,0.5,1,25.62
59,vsWOL,RW,8,11.44,0.25,1.62,0.25,1.0,0.75,1.0,0.0,0.0,0.5,0.75,0.62,0.5,0.0,0.88,0.0,0.0,0.0,0.88,0.0,0.5,0.75,0.25,0.0,7.69,-0.5,0.38,1,27.58
26,vsEVE,RW,5,11.4,0.2,1.2,0.4,0.6,0.6,2.2,0.2,0.0,1.2,0.0,1.0,2.8,0.0,0.2,0.0,0.0,0.0,1.2,0.6,0.6,2.2,0.0,0.0,6.8,-1.5,0.4,1,36.33
10,vsBOU,LW,10,11.05,0.3,1.8,0.2,0.5,0.6,1.0,0.2,0.0,0.3,0.6,0.3,1.4,0.0,0.9,0.0,0.0,0.0,0.4,0.3,0.3,1.9,0.1,0.0,7.05,-0.9,0.4,1,22.5
15,vsBUR,FW,13,10.85,0.54,0.92,0.15,0.92,0.08,0.46,0.0,0.0,0.08,0.08,0.69,0.46,0.15,1.54,0.0,0.0,0.0,0.54,0.23,0.69,0.54,0.46,0.08,5.08,-0.23,0.38,1,22.6
11,vsBOU,RW,10,10.75,0.5,1.4,0.0,1.0,0.6,1.4,0.2,0.0,0.3,0.5,0.1,1.0,0.0,0.7,0.1,0.0,0.0,0.5,0.3,0.5,1.6,0.1,0.0,6.05,-1.5,0.4,1,31.5
32,vsLIV,RW,8,10.75,0.5,1.12,0.0,1.0,0.75,0.75,0.12,0.0,0.12,0.5,0.5,1.5,0.0,0.38,0.0,0.0,0.0,1.75,0.0,0.5,0.88,0.12,0.0,6.25,-1.12,0.62,1,29.9
17,vsBUR,RW,7,10.29,0.43,1.14,0.14,0.86,0.43,1.43,0.14,0.0,0.14,0.71,0.71,0.86,0.0,0.29,0.0,0.0,0.0,0.43,0.29,0.57,0.71,0.29,0.14,5.29,-1.0,0.43,1,27.38
50,vsSHU,RW,11,9.96,0.33,1.33,0.17,0.58,0.58,1.17,0.0,0.0,0.67,0.17,0.0,0.92,0.0,0.42,0.0,0.0,0.0,0.33,0.25,0.5,0.67,0.33,0.0,5.79,-0.58,0.67,1,24.5
31,vsLIV,LW,10,9.55,0.1,1.3,0.2,0.7,0.6,0.7,0.1,0.0,0.1,0.8,0.4,2.2,0.1,0.2,0.0,0.0,0.0,1.5,0.1,0.3,1.3,0.4,0.0,7.35,-0.55,0.6,1,30.5
35,vsLUT,RW,8,9.44,0.5,0.75,0.0,1.0,0.12,1.38,0.0,0.0,0.25,0.0,0.25,1.25,0.0,0.25,0.0,0.0,0.0,0.38,0.5,0.5,0.5,1.0,0.0,4.56,-0.69,0.5,1,22.75
