id,player_id,player_name,season,situation,goals,shots,xG,assists,key_passes,xA,npg,npxG,time,npxG+xA,key_passes+shots,90s,goals_per_90,assists_per_90,xA_per_90,npxG_per_90,npxG+xA_per_90,shots_per_90,key_passes_per_90,key_passes+shots_per_90,goal_conversion_rate,assist_to_key_pass_ratio
1008,8260,Erling Haaland,2023,OpenPlay,7.0,28.0,6.068069711327553,1.0,9.0,1.217207469046116,7.0,6.068069711327553,805.0,7.29,37.0,8.94,0.78,0.11,0.14,0.68,0.82,3.13,1.01,4.14,0.25,0.1111111111111111
744,8865,Ollie Watkins,2023,OpenPlay,5.0,27.0,4.711576942354441,4.0,16.0,2.05236691609025,5.0,4.711576942354441,789.0,6.76,43.0,8.77,0.57,0.46,0.23,0.54,0.77,3.08,1.82,4.9,0.18518518518518517,0.25
3444,468,Callum Wilson,2023,OpenPlay,4.0,16.0,4.514164973050356,0.0,1.0,0.015900330618023872,4.0,4.514164973050356,319.0,4.53,17.0,3.54,1.13,0.0,0.0,1.28,1.28,4.52,0.28,4.8,0.25,0.0
4815,453,Son Heung-Min,2023,OpenPlay,8.0,24.0,4.465048968791962,1.0,19.0,3.000117963179946,8.0,4.465048968791962,839.0,7.47,43.0,9.32,0.86,0.11,0.32,0.48,0.8,2.58,2.04,4.61,0.3333333333333333,0.05263157894736842
3872,10048,Nicolas Jackson,2023,OpenPlay,2.0,19.0,4.288322725333273,0.0,5.0,0.6557163130491972,2.0,4.288322725333273,578.0,4.94,24.0,6.42,0.31,0.0,0.1,0.67,0.77,2.96,0.78,3.74,0.10526315789473684,0.0
432,5232,Alexander Isak,2023,OpenPlay,3.0,15.0,4.246854644268751,0.0,3.0,0.3897321596741676,3.0,4.246854644268751,507.0,4.64,18.0,5.63,0.53,0.0,0.07,0.75,0.82,2.66,0.53,3.2,0.2,0.0
5303,1679,Dominic Solanke,2023,OpenPlay,4.0,21.0,4.152648633345962,1.0,9.0,0.522210530936718,4.0,4.152648633345962,809.0,4.67,30.0,8.99,0.44,0.11,0.06,0.46,0.52,2.34,1.0,3.34,0.19047619047619047,0.1111111111111111
3310,10720,Darwin Nunez,2023,OpenPlay,3.0,16.0,3.703281016089022,2.0,3.0,1.082984320819378,3.0,3.703281016089022,329.0,4.79,19.0,3.66,0.82,0.55,0.3,1.01,1.31,4.37,0.82,5.19,0.1875,0.6666666666666666
65,556,Marcus Rashford,2023,OpenPlay,1.0,31.0,3.245548389852047,1.0,9.0,1.0756031088531015,1.0,3.245548389852047,773.0,4.32,40.0,8.59,0.12,0.12,0.13,0.38,0.5,3.61,1.05,4.66,0.03225806451612903,0.1111111111111111
719,10806,Kaoru Mitoma,2023,OpenPlay,3.0,15.0,3.2043319679796696,3.0,15.0,2.0110310968011618,3.0,3.2043319679796696,754.0,5.22,30.0,8.38,0.36,0.36,0.24,0.38,0.62,1.79,1.79,3.58,0.2,0.2
3679,5786,Yoane Wissa,2023,OpenPlay,3.0,20.0,3.0624530613422394,1.0,9.0,0.8260292205959558,3.0,3.0624530613422394,776.0,3.89,29.0,8.62,0.35,0.12,0.1,0.36,0.45,2.32,1.04,3.36,0.15,0.1111111111111111
1425,7967,Anssumane Fati,2023,OpenPlay,2.0,15.0,2.965116923674941,0.0,2.0,0.3473868817090988,2.0,2.965116923674941,150.0,3.31,17.0,1.67,1.2,0.0,0.21,1.78,1.98,8.98,1.2,10.18,0.13333333333333333,0.0
4488,10846,Julian Alvarez,2023,OpenPlay,3.0,20.0,2.9463038370013237,3.0,13.0,1.2921782601624727,3.0,2.9463038370013237,761.0,4.24,33.0,8.46,0.35,0.35,0.15,0.35,0.5,2.36,1.54,3.9,0.15,0.23076923076923078
546,6552,Bryan Mbeumo,2023,OpenPlay,3.0,17.0,2.913455367088318,1.0,8.0,1.3533013258129358,3.0,2.913455367088318,810.0,4.27,25.0,9.0,0.33,0.11,0.15,0.32,0.47,1.89,0.89,2.78,0.17647058823529413,0.125
2145,6818,James Maddison,2023,OpenPlay,3.0,26.0,2.8863175865262747,3.0,19.0,1.9460323005914688,3.0,2.8863175865262747,864.0,4.83,45.0,9.6,0.31,0.31,0.2,0.3,0.5,2.71,1.98,4.69,0.11538461538461539,0.15789473684210525
16,7322,Bukayo Saka,2023,OpenPlay,2.0,12.0,2.870182916522026,1.0,13.0,1.233363015577197,2.0,2.870182916522026,711.0,4.1,25.0,7.9,0.25,0.13,0.16,0.36,0.52,1.52,1.65,3.16,0.16666666666666666,0.07692307692307693
3039,3697,Odsonne Edouard,2023,OpenPlay,4.0,17.0,2.8631757609546185,0.0,6.0,0.6013891436159611,4.0,2.8631757609546185,783.0,3.46,23.0,8.7,0.46,0.0,0.07,0.33,0.4,1.95,0.69,2.64,0.23529411764705882,0.0
4000,8864,Matthew Cash,2023,OpenPlay,2.0,14.0,2.689464951865375,1.0,1.0,0.5715277194976807,2.0,2.689464951865375,806.0,3.26,15.0,8.96,0.22,0.11,0.06,0.3,0.36,1.56,0.11,1.67,0.14285714285714285,1.0
2551,1250,Mohamed Salah,2023,OpenPlay,2.0,24.0,2.6814410611987114,4.0,18.0,4.768930723890662,2.0,2.6814410611987114,795.0,7.45,42.0,8.83,0.23,0.45,0.54,0.3,0.84,2.72,2.04,4.76,0.08333333333333333,0.2222222222222222
458,1776,Jarrod Bowen,2023,OpenPlay,6.0,21.0,2.665609390474856,1.0,2.0,0.6132064014673233,6.0,2.665609390474856,810.0,3.28,23.0,9.0,0.67,0.11,0.07,0.3,0.36,2.33,0.22,2.56,0.2857142857142857,0.5
3178,618,Raheem Sterling,2023,OpenPlay,3.0,15.0,2.6203489750623703,0.0,10.0,1.2719937693327663,3.0,2.6203489750623703,733.0,3.89,25.0,8.14,0.37,0.0,0.16,0.32,0.48,1.84,1.23,3.07,0.2,0.0
213,6026,Richarlison,2023,OpenPlay,0.0,19.0,2.557253815233707,3.0,6.0,0.8629096001386642,0.0,2.557253815233707,544.0,3.42,25.0,6.04,0.0,0.5,0.14,0.42,0.57,3.15,0.99,4.14,0.0,0.5
1051,8845,Hee-Chan Hwang,2023,OpenPlay,3.0,12.0,2.4788136519491673,1.0,4.0,0.6981635987758636,3.0,2.4788136519491673,515.0,3.18,16.0,5.72,0.52,0.17,0.12,0.43,0.56,2.1,0.7,2.8,0.25,0.25
3143,6049,Solly March,2023,OpenPlay,3.0,9.0,2.4389322735369205,0.0,3.0,0.11401997692883016,3.0,2.4389322735369205,571.0,2.55,12.0,6.34,0.47,0.0,0.02,0.38,0.4,1.42,0.47,1.89,0.3333333333333333,0.0
906,10177,Evan Ferguson,2023,OpenPlay,4.0,16.0,2.390436458401382,0.0,2.0,0.3811234012246132,4.0,2.390436458401382,445.0,2.77,18.0,4.94,0.81,0.0,0.08,0.48,0.56,3.24,0.4,3.64,0.25,0.0
5023,8150,Anthony Gordon,2023,OpenPlay,3.0,13.0,2.3864317275583744,2.0,7.0,2.3517324924468994,3.0,2.3864317275583744,638.0,4.74,20.0,7.09,0.42,0.28,0.33,0.34,0.67,1.83,0.99,2.82,0.23076923076923078,0.2857142857142857
2302,1726,Abdoulaye Doucoure,2023,OpenPlay,1.0,10.0,2.366004679352045,0.0,15.0,1.5295568937435746,1.0,2.366004679352045,780.0,3.9,25.0,8.67,0.12,0.0,0.18,0.27,0.45,1.15,1.73,2.88,0.1,0.0
2472,4456,Chris Wood,2023,OpenPlay,3.0,8.0,2.348670572042465,0.0,4.0,0.19790811650455,3.0,2.348670572042465,218.0,2.55,12.0,2.42,1.24,0.0,0.08,0.97,1.05,3.31,1.65,4.96,0.375,0.0
3693,6482,Eddie Nketiah,2023,OpenPlay,1.0,16.0,2.2900084126740694,0.0,3.0,0.2406325452029705,1.0,2.2900084126740694,611.0,2.53,19.0,6.79,0.15,0.0,0.04,0.34,0.37,2.36,0.44,2.8,0.0625,0.0
4505,8066,Arnaut Danjuma Groeneveld,2023,OpenPlay,1.0,15.0,2.267685504630208,0.0,3.0,0.23758913576602936,1.0,2.267685504630208,359.0,2.51,18.0,3.99,0.25,0.0,0.06,0.57,0.63,3.76,0.75,4.51,0.06666666666666667,0.0
2419,8288,Tomas Soucek,2023,OpenPlay,2.0,9.0,2.2466429211199284,1.0,5.0,0.5081335101276636,2.0,2.2466429211199284,622.0,2.75,14.0,6.91,0.29,0.14,0.07,0.33,0.4,1.3,0.72,2.03,0.2222222222222222,0.2
1367,10408,Luis Diaz,2023,OpenPlay,2.0,17.0,2.1910288464277983,0.0,7.0,1.0262375939637425,2.0,2.1910288464277983,655.0,3.22,24.0,7.28,0.27,0.0,0.14,0.3,0.44,2.34,0.96,3.3,0.11764705882352941,0.0
357,9021,Pape Sarr,2023,OpenPlay,1.0,13.0,2.1030981298536062,1.0,10.0,0.8601081315428019,1.0,2.1030981298536062,727.0,2.96,23.0,8.08,0.12,0.12,0.11,0.26,0.37,1.61,1.24,2.85,0.07692307692307693,0.1
4626,8706,Eberechi Eze,2023,OpenPlay,1.0,22.0,2.0282933674752712,0.0,7.0,0.4252877458930016,1.0,2.0282933674752712,630.0,2.45,29.0,7.0,0.14,0.0,0.06,0.29,0.35,3.14,1.0,4.14,0.045454545454545456,0.0
4950,7814,Taiwo Awoniyi,2023,OpenPlay,3.0,6.0,2.012798596173525,2.0,9.0,0.6755558345466852,3.0,2.012798596173525,506.0,2.69,15.0,5.62,0.53,0.36,0.12,0.36,0.48,1.07,1.6,2.67,0.5,0.2222222222222222
925,6827,Bobby Reid,2023,OpenPlay,2.0,10.0,2.001679410226643,0.0,3.0,0.23354090936481953,2.0,2.001679410226643,528.0,2.24,13.0,5.87,0.34,0.0,0.04,0.34,0.38,1.7,0.51,2.21,0.2,0.0
1709,3621,Neal Maupay,2023,OpenPlay,0.0,12.0,1.960198953747749,1.0,2.0,0.18929029628634453,0.0,1.960198953747749,237.0,2.15,14.0,2.63,0.0,0.38,0.07,0.75,0.82,4.56,0.76,5.32,0.0,0.5
1616,1228,Bruno Fernandes,2023,OpenPlay,1.0,22.0,1.9062334960326552,1.0,15.0,1.6312113497406244,1.0,1.9062334960326552,810.0,3.54,37.0,9.0,0.11,0.11,0.18,0.21,0.39,2.44,1.67,4.11,0.045454545454545456,0.06666666666666667
3769,6556,Moussa Diaby,2023,OpenPlay,2.0,19.0,1.7328469129279256,3.0,15.0,3.817999316379428,2.0,1.7328469129279256,739.0,5.55,34.0,8.21,0.24,0.37,0.47,0.21,0.68,2.31,1.83,4.14,0.10526315789473684,0.2
5119,8272,Joao Pedro,2023,OpenPlay,1.0,11.0,1.7260214406996963,1.0,11.0,1.7851359928026795,1.0,1.7260214406996963,471.0,3.51,22.0,5.23,0.19,0.19,0.34,0.33,0.67,2.1,2.1,4.21,0.09090909090909091,0.09090909090909091
662,6382,Pedro Neto,2023,OpenPlay,1.0,15.0,1.7245227852836251,5.0,13.0,2.734559416770935,1.0,1.7245227852836251,810.0,4.46,28.0,9.0,0.11,0.56,0.3,0.19,0.5,1.67,1.44,3.11,0.06666666666666667,0.38461538461538464
2939,7080,Matheus Cunha,2023,OpenPlay,2.0,15.0,1.7135769426822662,1.0,8.0,1.3283517621457577,2.0,1.7135769426822662,740.0,3.04,23.0,8.22,0.24,0.12,0.16,0.21,0.37,1.82,0.97,2.8,0.13333333333333333,0.125
2627,5555,Dominic Calvert-Lewin,2023,OpenPlay,1.0,11.0,1.7099100016057491,0.0,2.0,0.05817396147176623,1.0,1.7099100016057491,319.0,1.77,13.0,3.54,0.28,0.0,0.02,0.48,0.5,3.11,0.56,3.67,0.09090909090909091,0.0
4352,9983,Beto,2023,OpenPlay,0.0,13.0,1.6946114310994744,0.0,10.0,0.6636920478194952,0.0,1.6946114310994744,363.0,2.36,23.0,4.03,0.0,0.0,0.16,0.42,0.59,3.23,2.48,5.71,0.0,0.0
2602,11720,Jacob Brown,2023,OpenPlay,0.0,11.0,1.6804448291659355,0.0,5.0,0.7334416061639786,0.0,1.6804448291659355,520.0,2.41,16.0,5.78,0.0,0.0,0.13,0.29,0.42,1.9,0.87,2.77,0.0,0.0
3616,5221,Leon Bailey,2023,OpenPlay,3.0,5.0,1.6720134653151035,1.0,3.0,0.8556880876421928,3.0,1.6720134653151035,237.0,2.53,8.0,2.63,1.14,0.38,0.33,0.64,0.96,1.9,1.14,3.04,0.6,0.3333333333333333
4777,843,James Ward-Prowse,2023,OpenPlay,2.0,7.0,1.611239043995738,1.0,4.0,0.368573147803545,2.0,1.611239043995738,720.0,1.98,11.0,8.0,0.25,0.12,0.05,0.2,0.25,0.88,0.5,1.38,0.2857142857142857,0.25
4459,8981,Jeremy Doku,2023,OpenPlay,2.0,14.0,1.609498856589198,1.0,10.0,1.418789998628199,2.0,1.609498856589198,530.0,3.03,24.0,5.89,0.34,0.17,0.24,0.27,0.51,2.38,1.7,4.07,0.14285714285714285,0.1
324,11356,Enzo Fernandez,2023,OpenPlay,0.0,15.0,1.5880882069468498,0.0,10.0,1.4046391062438488,0.0,1.5880882069468498,782.0,2.99,25.0,8.69,0.0,0.0,0.16,0.18,0.34,1.73,1.15,2.88,0.0,0.0
506,7498,Lyle Foster,2023,OpenPlay,3.0,9.0,1.5731621915474534,2.0,6.0,0.7788491435348988,3.0,1.5731621915474534,618.0,2.35,15.0,6.87,0.44,0.29,0.11,0.23,0.34,1.31,0.87,2.18,0.3333333333333333,0.3333333333333333
1861,6820,David Brooks,2023,OpenPlay,1.0,8.0,1.527444156818092,0.0,4.0,0.6392897218465805,1.0,1.527444156818092,213.0,2.17,12.0,2.37,0.42,0.0,0.27,0.64,0.92,3.38,1.69,5.06,0.125,0.0
3010,11296,Cody Gakpo,2023,OpenPlay,2.0,8.0,1.5253503434360027,0.0,4.0,0.20861058682203293,2.0,1.5253503434360027,339.0,1.73,12.0,3.77,0.53,0.0,0.06,0.4,0.46,2.12,1.06,3.18,0.25,0.0
3849,672,Jordan Ayew,2023,OpenPlay,1.0,17.0,1.4933095006272197,2.0,8.0,1.1239439137279987,1.0,1.4933095006272197,834.0,2.62,25.0,9.27,0.11,0.22,0.12,0.16,0.28,1.83,0.86,2.7,0.058823529411764705,0.25
4431,6854,Diogo Jota,2023,OpenPlay,1.0,11.0,1.4610219821333883,0.0,6.0,0.32955951802432537,1.0,1.4610219821333883,378.0,1.79,17.0,4.2,0.24,0.0,0.08,0.35,0.43,2.62,1.43,4.05,0.09090909090909091,0.0
5011,7078,Sean Longstaff,2023,OpenPlay,2.0,8.0,1.4564798679202795,1.0,5.0,0.8968476988375187,2.0,1.4564798679202795,525.0,2.35,13.0,5.83,0.34,0.17,0.15,0.25,0.4,1.37,0.86,2.23,0.25,0.2
1452,6691,Dejan Kulusevski,2023,OpenPlay,2.0,15.0,1.390639327466488,0.0,18.0,2.2300604544579983,2.0,1.390639327466488,900.0,3.62,33.0,10.0,0.2,0.0,0.22,0.14,0.36,1.5,1.8,3.3,0.13333333333333333,0.0
3752,5543,Gabriel Jesus,2023,OpenPlay,1.0,8.0,1.3324091536924243,0.0,3.0,0.1936580501496792,1.0,1.3324091536924243,363.0,1.53,11.0,4.03,0.25,0.0,0.05,0.33,0.38,1.99,0.74,2.73,0.125,0.0
830,531,Michail Antonio,2023,OpenPlay,2.0,8.0,1.3114309702068567,1.0,4.0,0.8787761703133583,2.0,1.3114309702068567,718.0,2.19,12.0,7.98,0.25,0.13,0.11,0.16,0.27,1.0,0.5,1.5,0.25,0.25
1821,11055,Rasmus Hojlund,2023,OpenPlay,0.0,9.0,1.3098548129200935,0.0,4.0,0.21799906343221664,0.0,1.3098548129200935,426.0,1.53,13.0,4.73,0.0,0.0,0.05,0.28,0.32,1.9,0.85,2.75,0.0,0.0
4315,11701,Zeki Amdouni,2023,OpenPlay,1.0,13.0,1.2548087444156408,0.0,4.0,0.5315154548734426,1.0,1.2548087444156408,575.0,1.79,17.0,6.39,0.16,0.0,0.08,0.2,0.28,2.03,0.63,2.66,0.07692307692307693,0.0
2360,10760,Brennan Johnson,2023,OpenPlay,0.0,6.0,1.2291527912020683,1.0,4.0,0.8875970989465714,0.0,1.2291527912020683,354.0,2.12,10.0,3.93,0.0,0.25,0.23,0.31,0.54,1.53,1.02,2.54,0.0,0.25
153,7420,Miguel Almiron,2023,OpenPlay,2.0,12.0,1.2114334665238855,0.0,4.0,0.4248886704444885,2.0,1.2114334665238855,596.0,1.64,16.0,6.62,0.3,0.0,0.06,0.18,0.25,1.81,0.6,2.42,0.16666666666666666,0.0
4925,11717,Carlton Morris,2023,OpenPlay,0.0,14.0,1.2025274755433202,1.0,6.0,0.7937604486942291,0.0,1.2025274755433202,784.0,2.0,20.0,8.71,0.0,0.11,0.09,0.14,0.23,1.61,0.69,2.3,0.0,0.16666666666666666
4731,10809,Keane Lewis-Potter,2023,OpenPlay,0.0,4.0,1.1613357905298471,0.0,1.0,0.04771079495549202,0.0,1.1613357905298471,212.0,1.21,5.0,2.36,0.0,0.0,0.02,0.49,0.51,1.69,0.42,2.12,0.0,0.0
3880,6857,Morgan Gibbs-White,2023,OpenPlay,0.0,14.0,1.1370326448231936,1.0,8.0,1.1835146229714155,0.0,1.1370326448231936,747.0,2.32,22.0,8.3,0.0,0.12,0.14,0.14,0.28,1.69,0.96,2.65,0.0,0.125
2679,8812,Sasa Kalajdzic,2023,OpenPlay,2.0,3.0,1.1351747140288353,0.0,2.0,0.6846108734607697,2.0,1.1351747140288353,24.0,1.82,5.0,0.27,7.41,0.0,2.54,4.2,6.74,11.11,7.41,18.52,0.6666666666666666,0.0
4105,11716,Pelly Ruddock Mpanzu,2023,OpenPlay,0.0,6.0,1.042080257087946,0.0,3.0,0.4225886706262827,0.0,1.042080257087946,485.0,1.46,9.0,5.39,0.0,0.0,0.08,0.19,0.27,1.11,0.56,1.67,0.0,0.0
747,11710,Simon Adingra,2023,OpenPlay,2.0,5.0,1.0014852816239,1.0,5.0,0.9734008014202118,2.0,1.0014852816239,411.0,1.97,10.0,4.57,0.44,0.22,0.21,0.22,0.43,1.09,1.09,2.19,0.4,0.2
913,8384,Armando Broja,2023,OpenPlay,1.0,4.0,0.9716297369450332,0.0,0.0,0.0,1.0,0.9716297369450332,125.0,0.97,4.0,1.39,0.72,0.0,0.0,0.7,0.7,2.88,0.0,2.88,0.25,
2404,7723,John McGinn,2023,OpenPlay,1.0,5.0,0.9593167454004288,2.0,8.0,1.117154099047184,1.0,0.9593167454004288,768.0,2.08,13.0,8.53,0.12,0.23,0.13,0.11,0.24,0.59,0.94,1.52,0.2,0.25
2196,4105,Raul Jimenez,2023,OpenPlay,0.0,9.0,0.9458931758999825,0.0,4.0,0.4474726561456918,0.0,0.9458931758999825,568.0,1.39,13.0,6.31,0.0,0.0,0.07,0.15,0.22,1.43,0.63,2.06,0.0,0.0
5207,7395,Carlos Vinicius,2023,OpenPlay,1.0,4.0,0.9135889038443564,0.0,4.0,0.49552374705672264,1.0,0.9135889038443564,207.0,1.41,8.0,2.3,0.43,0.0,0.22,0.4,0.61,1.74,1.74,3.48,0.25,0.0
680,5136,Estupinan,2023,OpenPlay,1.0,6.0,0.9057071972638367,3.0,12.0,2.561258252710104,1.0,0.9057071972638367,501.0,3.47,18.0,5.57,0.18,0.54,0.46,0.16,0.62,1.08,2.15,3.23,0.16666666666666666,0.25
787,6034,Philip Billing,2023,OpenPlay,0.0,10.0,0.8998832609504461,1.0,9.0,1.0741549916565418,0.0,0.8998832609504461,795.0,1.97,19.0,8.83,0.0,0.11,0.12,0.1,0.22,1.13,1.02,2.15,0.0,0.1111111111111111
535,501,Danny Welbeck,2023,OpenPlay,1.0,9.0,0.8858696958050132,0.0,5.0,0.34334943629801273,1.0,0.8858696958050132,428.0,1.23,14.0,4.76,0.21,0.0,0.07,0.19,0.26,1.89,1.05,2.94,0.1111111111111111,0.0
1433,8497,Cole Palmer,2023,OpenPlay,0.0,9.0,0.8844972718507051,1.0,8.0,1.4100089967250824,0.0,0.8844972718507051,329.0,2.29,17.0,3.66,0.0,0.27,0.39,0.24,0.63,2.46,2.19,4.64,0.0,0.125
5027,782,Ben Chilwell,2023,OpenPlay,0.0,6.0,0.8765378557145596,0.0,4.0,0.38826024159789085,0.0,0.8765378557145596,351.0,1.26,10.0,3.9,0.0,0.0,0.1,0.22,0.32,1.54,1.03,2.56,0.0,0.0
1088,11094,Antony,2023,OpenPlay,0.0,14.0,0.8716715229675174,0.0,8.0,1.27909180149436,0.0,0.8716715229675174,418.0,2.15,22.0,4.64,0.0,0.0,0.28,0.19,0.46,3.02,1.72,4.74,0.0,0.0
4158,10620,Luca Koleosho,2023,OpenPlay,0.0,10.0,0.8647524360567331,1.0,9.0,1.2449512500315905,0.0,0.8647524360567331,568.0,2.11,19.0,6.31,0.0,0.16,0.2,0.14,0.33,1.58,1.43,3.01,0.0,0.1111111111111111
3536,7438,James Garner,2023,OpenPlay,1.0,9.0,0.8600170183926821,1.0,6.0,1.0184433367103338,1.0,0.8600170183926821,709.0,1.88,15.0,7.88,0.13,0.13,0.13,0.11,0.24,1.14,0.76,1.9,0.1111111111111111,0.16666666666666666
2667,8778,Fabio Silva,2023,OpenPlay,0.0,5.0,0.854667030274868,0.0,4.0,0.2420392744243145,0.0,0.854667030274868,250.0,1.1,9.0,2.78,0.0,0.0,0.09,0.31,0.4,1.8,1.44,3.24,0.0,0.0
4917,10386,Anel Ahmedhodzic,2023,OpenPlay,0.0,6.0,0.8466527704149485,0.0,0.0,0.0,0.0,0.8466527704149485,720.0,0.85,6.0,8.0,0.0,0.0,0.0,0.11,0.11,0.75,0.0,0.75,0.0,
3564,7365,Lucas Paqueta,2023,OpenPlay,0.0,7.0,0.846527099609375,1.0,9.0,1.7257712744176388,0.0,0.846527099609375,807.0,2.57,16.0,8.97,0.0,0.11,0.19,0.09,0.29,0.78,1.0,1.78,0.0,0.1111111111111111
4413,7958,Sandro Tonali,2023,OpenPlay,1.0,2.0,0.841463565826416,0.0,5.0,0.3958446104079485,1.0,0.841463565826416,436.0,1.24,7.0,4.84,0.21,0.0,0.08,0.17,0.26,0.41,1.03,1.45,0.5,0.0
966,6055,Phil Foden,2023,OpenPlay,1.0,12.0,0.8344945572316647,2.0,17.0,1.565110333263874,1.0,0.8344945572316647,700.0,2.4,29.0,7.78,0.13,0.26,0.2,0.11,0.31,1.54,2.19,3.73,0.08333333333333333,0.11764705882352941
4214,2517,Martin Odegaard,2023,OpenPlay,1.0,17.0,0.8308572247624397,0.0,10.0,0.8414636207744479,1.0,0.8308572247624397,796.0,1.67,27.0,8.84,0.11,0.0,0.1,0.09,0.19,1.92,1.13,3.05,0.058823529411764705,0.0
3854,10697,Ryan Gravenberch,2023,OpenPlay,0.0,3.0,0.8053923547267914,0.0,3.0,0.24763835594058037,0.0,0.8053923547267914,124.0,1.05,6.0,1.38,0.0,0.0,0.18,0.58,0.76,2.17,2.17,4.35,0.0,0.0
2883,239,Pascal Gross,2023,OpenPlay,2.0,10.0,0.7968456652015448,0.0,9.0,0.986954852938652,2.0,0.7968456652015448,623.0,1.78,19.0,6.92,0.29,0.0,0.14,0.12,0.26,1.45,1.3,2.75,0.2,0.0
5247,9524,Anthony Elanga,2023,OpenPlay,1.0,10.0,0.7917902637273073,3.0,7.0,1.5711922273039818,1.0,0.7917902637273073,365.0,2.36,17.0,4.06,0.25,0.74,0.39,0.2,0.58,2.46,1.72,4.19,0.1,0.42857142857142855
1335,2245,Raphael Varane,2023,OpenPlay,1.0,1.0,0.789081335067749,0.0,1.0,0.08104487508535385,1.0,0.789081335067749,328.0,0.87,2.0,3.64,0.27,0.0,0.02,0.22,0.24,0.27,0.27,0.55,1.0,0.0
1546,700,Willian,2023,OpenPlay,1.0,9.0,0.7765998719260097,0.0,8.0,0.38042853120714426,1.0,0.7765998719260097,527.0,1.16,17.0,5.86,0.17,0.0,0.06,0.13,0.2,1.54,1.37,2.9,0.1111111111111111,0.0
29,11718,Elijah Adebayo,2023,OpenPlay,2.0,6.0,0.7501489669084549,0.0,6.0,0.3596941661089659,2.0,0.7501489669084549,341.0,1.11,12.0,3.79,0.53,0.0,0.09,0.2,0.29,1.58,1.58,3.17,0.3333333333333333,0.0
1657,6912,Pedro Porro,2023,OpenPlay,0.0,9.0,0.7466158140450716,1.0,10.0,1.492909997701645,0.0,0.7466158140450716,810.0,2.24,19.0,9.0,0.0,0.11,0.17,0.08,0.25,1.0,1.11,2.11,0.0,0.1
3161,6681,Harvey Barnes,2023,OpenPlay,1.0,5.0,0.7318850327283144,1.0,2.0,1.1135693788528442,1.0,0.7318850327283144,169.0,1.85,7.0,1.88,0.53,0.53,0.59,0.39,0.98,2.66,1.06,3.72,0.2,0.5
3977,10552,Alejandro Garnacho,2023,OpenPlay,0.0,11.0,0.7254513893276453,0.0,4.0,0.2042667381465435,0.0,0.7254513893276453,215.0,0.93,15.0,2.39,0.0,0.0,0.09,0.3,0.39,4.6,1.67,6.28,0.0,0.0
1886,500,Alex Iwobi,2023,OpenPlay,0.0,10.0,0.7090699151158333,0.0,7.0,0.3328861501067877,0.0,0.7090699151158333,354.0,1.04,17.0,3.93,0.0,0.0,0.08,0.18,0.26,2.54,1.78,4.33,0.0,0.0
3211,9156,Kevin Schade,2023,OpenPlay,1.0,4.0,0.7069257833063602,0.0,2.0,0.21846865862607956,1.0,0.7069257833063602,248.0,0.93,6.0,2.76,0.36,0.0,0.08,0.26,0.34,1.45,0.72,2.17,0.25,0.0
554,11363,Antoine Semenyo,2023,OpenPlay,1.0,12.0,0.6994145456701517,0.0,1.0,0.29836735129356384,1.0,0.6994145456701517,260.0,1.0,13.0,2.89,0.35,0.0,0.1,0.24,0.35,4.15,0.35,4.5,0.08333333333333333,0.0
2490,922,Andreas Pereira,2023,OpenPlay,1.0,6.0,0.6946939947083592,1.0,6.0,0.7458285093307495,1.0,0.6946939947083592,628.0,1.44,12.0,6.98,0.14,0.14,0.11,0.1,0.21,0.86,0.86,1.72,0.16666666666666666,0.16666666666666666
3278,9154,Elliot Anderson,2023,OpenPlay,0.0,6.0,0.6801752801984549,1.0,6.0,0.6206381469964981,0.0,0.6801752801984549,395.0,1.3,12.0,4.39,0.0,0.23,0.14,0.15,0.3,1.37,1.37,2.73,0.0,0.16666666666666666
2705,8327,Bruno Guimaraes,2023,OpenPlay,1.0,5.0,0.6693654209375381,1.0,13.0,1.564105587080121,1.0,0.6693654209375381,791.0,2.23,18.0,8.79,0.11,0.11,0.18,0.08,0.25,0.57,1.48,2.05,0.2,0.07692307692307693
4660,5722,Ibrahim Sangare,2023,OpenPlay,0.0,4.0,0.6640531122684479,0.0,1.0,0.08198017627000809,0.0,0.6640531122684479,390.0,0.75,5.0,4.33,0.0,0.0,0.02,0.15,0.17,0.92,0.23,1.15,0.0,0.0
4605,8562,Luke Thomas,2023,OpenPlay,0.0,4.0,0.6242762543261051,0.0,1.0,0.043669186532497406,0.0,0.6242762543261051,459.0,0.67,5.0,5.1,0.0,0.0,0.01,0.12,0.13,0.78,0.2,0.98,0.0,0.0
1774,7752,Gabriel Martinelli,2023,OpenPlay,1.0,9.0,0.6101422943174839,1.0,4.0,0.16188115440309048,1.0,0.6101422943174839,488.0,0.77,13.0,5.42,0.18,0.18,0.03,0.11,0.14,1.66,0.74,2.4,0.1111111111111111,0.25
4322,12094,Mike Tresor,2023,OpenPlay,0.0,3.0,0.5980505794286728,0.0,1.0,0.04477659612894058,0.0,0.5980505794286728,217.0,0.64,4.0,2.41,0.0,0.0,0.02,0.25,0.27,1.24,0.41,1.66,0.0,0.0
2654,11305,Mykhailo Mudryk,2023,OpenPlay,2.0,6.0,0.5941205667331815,0.0,5.0,0.5629106443375349,2.0,0.5941205667331815,292.0,1.16,11.0,3.24,0.62,0.0,0.17,0.18,0.36,1.85,1.54,3.4,0.3333333333333333,0.0
