Team,FPTS,G,SOT,YC,RC,CS,MIN
MCI,8.0,17,54,13,2,27,7282
TOT,7.72,16,56,26,1,26,7326
NEW,7.61,20,52,21,0,30,7139
CRY,7.51,7,36,11,0,40,7173
ARS,7.43,15,46,12,1,39,7122
WHU,6.93,15,38,19,1,10,7128
BHA,6.67,20,54,23,0,0,7138
LIV,6.53,16,40,14,4,10,6952
AVL,6.47,18,47,19,0,20,7138
EVE,6.29,9,38,12,0,10,6912
CHE,6.2,10,37,25,1,29,7126
BRF,5.75,11,38,17,0,10,7247
MUN,5.68,9,40,17,0,19,7139
NOT,5.07,8,26,22,2,18,6837
LUT,5.01,6,18,14,0,0,7130
WOL,4.59,8,26,23,2,9,6907
FUL,4.28,7,29,17,2,27,7240
BOU,3.97,5,31,10,0,10,7131
BUR,3.41,7,23,16,2,0,7133
SHU,2.68,4,24,23,1,0,7143
